Quiz_Total,Assignment_Total,Midterm,Final_Exam
5.6,13.6,12.7,33.4
7.6,16.6,15.2,36.0
4.2,9.6,6.7,29.5
2.9,8.1,6.1,15.6
5.4,11.7,13.2,32.1
5.7,11.5,10.3,26.6
2.7,9.0,9.1,16.0
2.0,5.3,5.4,10.0
7.5,15.4,15.6,41.3
4.1,9.6,7.7,19.8
3.3,8.5,10.8,25.3
1.4,4.8,5.2,8.3
8.3,18.3,19.4,45.2
7.8,17.1,16.3,42.4
2.2,4.8,3.4,11.5
5.3,12.6,12.5,30.3
6.8,15.9,15.3,37.8
2.4,5.0,7.5,18.2
5.1,12.0,13.9,28.2
4.2,6.7,6.9,18.3
8.0,15.3,16.5,42.2
8.5,18.5,18.0,43.1
7.7,15.2,13.7,34.5
1.9,4.7,4.8,8.4
7.3,15.0,16.8,40.0
2.0,5.2,6.7,11.5
3.8,9.2,9.2,22.6
1.5,4.9,4.5,7.9
1.5,5.2,6.7,15.3
5.2,12.6,10.1,27.4
8.0,18.0,17.4,42.9
6.5,13.3,14.6,31.6
1.5,5.1,7.0,12.8
7.7,15.2,13.0,36.3
7.7,15.6,17.2,41.8
5.1,10.8,13.1,29.5
5.6,11.9,10.9,25.2
6.1,12.4,14.1,31.3
3.1,8.6,8.1,20.6
9.1,18.1,16.6,42.7
2.0,5.0,7.9,14.6
6.0,11.9,13.3,33.8
1.8,4.9,4.4,13.2
6.3,12.3,13.1,30.1
8.7,16.4,18.4,43.9
5.0,12.9,11.2,24.5
3.3,8.5,10.9,29.3
3.8,8.1,8.0,22.9
3.3,7.4,8.4,20.1
5.2,12.4,11.2,31.6
8.1,17.2,16.2,40.9
3.1,8.8,7.8,22.0
3.9,7.9,10.8,20.3
1.7,5.2,5.9,13.3
7.8,16.6,17.5,42.1
1.4,5.7,4.3,9.3
8.0,15.9,14.9,39.1
8.7,16.9,19.4,45.9
7.3,15.3,13.5,34.0
5.0,12.8,11.6,31.5
5.2,13.0,13.6,30.3
6.8,16.4,15.6,39.5
9.2,17.2,16.2,41.4
2.1,4.9,7.0,12.2
7.4,16.5,15.8,39.7
7.8,17.3,20.0,45.5
5.8,12.6,13.4,35.5
3.4,8.3,10.8,26.2
6.4,11.7,12.3,28.2
5.6,13.8,12.6,30.5
3.0,9.4,11.6,25.6
4.2,8.3,9.3,21.8
6.6,11.7,10.6,26.6
2.3,4.8,6.2,15.9
7.5,15.6,15.6,42.2
7.2,15.6,16.5,38.4
3.1,8.7,7.3,18.7
5.8,12.0,13.8,34.8
5.2,12.7,10.7,22.4
3.1,9.0,10.1,19.7
7.3,16.3,13.5,38.4
8.0,18.0,18.8,43.3
9.1,17.9,17.7,48.5
2.0,5.6,3.9,9.5
7.0,16.0,15.7,36.7
2.6,8.3,11.3,20.9
2.8,5.9,3.2,6.0
8.4,18.1,19.6,45.6
7.8,16.6,15.8,38.9
8.7,17.9,16.9,44.3
7.4,13.2,15.5,36.2
1.9,5.4,5.1,17.1
8.5,17.9,19.3,45.9
9.1,16.6,18.8,46.1
7.4,15.4,14.7,36.6
7.2,15.6,14.9,39.6
1.6,5.9,3.7,8.9
8.5,17.9,18.9,44.8
5.0,13.9,10.9,26.5
3.6,8.5,11.1,22.2
7.1,16.8,15.2,39.2
6.7,15.3,13.5,34.4
3.5,7.9,10.1,18.5
8.7,17.0,16.5,40.7
3.1,7.6,11.2,19.3
7.1,15.9,15.3,39.5
3.2,7.4,6.1,17.6
8.5,17.8,19.2,41.5
7.6,14.0,16.2,36.9
3.8,7.0,9.9,22.4
5.4,13.9,13.5,34.0
6.9,15.7,14.3,34.8
6.5,13.1,12.1,35.0
8.6,17.9,16.4,44.3
3.2,9.4,6.2,14.4
7.7,14.2,15.1,30.7
7.1,15.7,13.5,37.1
6.1,11.5,13.0,32.9
6.5,11.9,11.4,29.2
8.6,17.0,16.2,42.2
5.7,12.7,13.7,32.2
8.0,17.2,15.7,44.7
7.0,16.8,15.4,35.9
2.7,7.9,11.6,19.5
2.2,5.0,5.1,10.2
3.7,8.2,8.9,16.0
3.0,9.4,10.8,24.0
5.8,12.1,12.9,30.7
9.3,17.6,18.5,43.0
3.9,8.5,10.1,19.9
3.4,9.1,7.6,20.2
3.1,10.4,10.3,12.4
7.8,14.8,17.1,42.4
4.0,9.4,11.8,26.8
9.0,16.3,19.2,43.9
2.7,9.2,7.4,14.5
2.8,8.0,11.0,25.6
3.1,7.4,7.3,15.3
7.6,14.9,13.8,37.7
1.7,4.8,4.2,11.8
3.1,7.6,9.8,17.7
7.7,15.0,17.4,38.4
8.8,16.9,18.3,45.0
1.4,5.8,6.9,16.0
1.8,5.3,3.1,11.0
5.2,11.9,11.6,32.1
5.4,12.9,13.9,34.1
3.0,9.4,10.1,24.8
8.7,16.8,18.3,44.8
8.7,18.2,16.1,40.4
9.0,18.9,15.5,41.8
2.1,5.5,4.7,4.1
6.2,12.1,11.4,27.0
5.8,12.7,13.1,30.1
3.3,8.1,10.9,26.4
5.6,12.8,14.1,32.3
7.0,15.7,15.0,35.2
5.4,13.2,12.7,29.8
3.5,9.1,11.7,23.8
1.7,5.3,3.7,12.7
3.6,8.3,7.6,16.4
7.3,14.0,16.9,42.6
2.5,5.4,4.3,11.5
1.5,5.5,6.4,11.5
6.9,15.3,15.1,39.3
7.3,15.6,14.7,39.9
2.2,4.5,5.8,11.6
7.6,13.8,14.5,39.1
4.7,12.9,13.8,31.9
1.9,4.7,3.4,8.1
9.0,17.5,18.5,42.1
8.5,17.2,18.9,43.4
8.2,17.7,17.2,40.7
8.6,16.6,17.3,42.9
3.6,8.2,9.8,16.6
7.9,15.2,16.7,40.1
5.6,12.7,12.6,21.3
6.3,11.5,11.3,30.5
9.0,18.3,18.1,46.7
2.2,5.5,5.4,13.8
2.2,5.9,4.4,10.8
6.9,14.9,14.3,38.4
7.4,14.1,17.3,41.5
2.0,5.1,5.5,10.1
8.8,18.0,18.3,43.8
8.6,17.2,19.5,45.2
6.1,12.6,14.1,30.6
6.0,13.2,12.1,27.2
9.1,17.5,19.9,47.4
3.3,7.5,6.7,16.0
8.1,17.3,17.0,41.5
5.6,11.4,11.0,28.9
3.2,9.5,8.2,21.1
4.1,7.9,7.7,16.9
7.1,14.7,16.1,38.3
3.2,7.3,8.1,21.8
7.4,15.2,13.9,35.0
1.7,5.7,6.9,14.6
9.2,17.4,19.8,47.6
8.0,15.2,15.0,39.1
5.7,12.7,13.8,31.7
3.2,8.1,9.4,18.3
5.0,12.2,12.5,31.9
1.0,4.7,6.0,11.2
8.6,18.2,16.4,42.9
2.1,5.7,5.8,14.2
8.3,18.4,18.4,46.0
3.8,8.4,9.0,22.2
5.4,12.7,12.7,28.9
6.3,11.9,12.0,26.7
7.5,15.6,17.8,42.1
1.9,5.2,6.1,13.9
7.1,16.6,15.7,37.5
7.1,15.5,13.8,36.6
6.9,16.1,17.5,39.3
7.7,14.9,16.8,38.9
8.9,16.9,16.2,47.9
1.8,5.3,3.4,8.5
5.2,11.7,12.4,32.3
5.5,12.1,11.3,28.4
7.7,14.8,17.8,38.6
7.5,15.5,17.8,41.2
7.0,16.2,17.7,41.2
5.3,12.2,11.7,27.8
6.0,11.8,13.9,34.3
6.2,13.4,13.7,36.3
7.5,16.8,16.4,39.1
2.3,8.8,9.5,20.1
8.7,17.5,15.5,37.2
8.4,17.0,15.1,39.2
1.8,4.8,5.2,12.9
8.9,18.0,16.7,44.3
1.8,4.5,6.2,10.2
7.5,14.7,13.3,35.3
3.5,9.0,11.8,25.5
2.0,5.3,3.4,9.8
5.5,12.3,12.2,29.7
8.2,18.4,15.6,41.0
1.7,4.8,5.7,11.3
5.4,12.6,13.8,35.3
2.5,5.3,7.0,13.0
3.6,7.6,11.3,20.5
3.6,8.0,9.6,18.0
3.5,7.5,6.7,14.3
7.0,15.3,13.8,35.1
7.3,15.1,15.6,36.2
7.8,16.6,17.3,39.9
8.8,17.2,18.7,44.4
1.8,4.0,7.3,11.0
5.0,13.4,10.3,30.9
3.0,8.1,9.3,18.1
5.2,13.2,14.1,33.0
8.8,17.7,15.6,42.2
7.4,15.6,16.6,38.0
5.7,12.8,10.6,25.3
9.1,17.7,17.0,43.8
8.7,18.3,15.1,42.8
8.0,18.5,15.1,40.7
5.8,13.1,11.6,27.3
2.5,8.7,6.6,18.7
5.3,13.3,13.1,29.3
1.9,6.2,6.4,15.4
7.8,18.1,18.3,43.2
4.4,12.6,14.1,27.4
8.1,17.7,16.6,41.3
6.0,12.4,10.9,25.0
3.1,9.5,6.8,21.5
3.8,7.4,10.0,26.3
1.8,4.1,4.5,10.6
5.7,12.1,14.6,34.2
2.4,4.9,6.3,16.2
8.1,15.1,13.9,39.8
7.2,15.9,14.7,34.4
5.1,10.7,13.3,31.7
3.5,7.7,8.9,22.1
7.7,15.8,13.3,38.0
2.5,5.7,6.4,13.2
4.8,11.8,11.5,30.8
3.9,8.6,9.9,18.9
3.3,9.1,7.8,16.6
7.3,17.1,16.7,38.3
9.2,17.8,15.7,41.8
6.3,11.0,12.7,27.6
2.6,8.3,11.7,24.6
3.3,8.6,9.1,18.7
8.0,16.3,15.4,41.9
8.0,18.1,17.1,40.5
2.1,6.1,5.1,10.0
7.9,16.8,17.0,39.6
5.8,12.9,14.4,32.0
3.4,8.0,9.2,22.8
5.9,12.2,12.2,29.1
4.9,12.5,12.4,31.1
8.8,17.0,17.2,43.0
1.4,4.9,6.7,15.5
7.7,15.3,13.7,37.2
6.0,11.6,14.6,29.4
7.9,15.6,17.1,40.7
5.8,12.6,12.2,26.4
5.4,13.1,12.7,26.7
8.1,17.5,17.7,42.5
7.1,14.9,16.1,40.0
5.0,12.2,14.2,35.0
8.3,19.5,19.8,48.2
6.2,13.1,13.9,32.5
8.2,18.7,15.2,40.1
6.3,13.2,11.6,22.9
2.9,10.3,11.5,24.5
9.3,17.1,19.3,48.1
7.0,15.6,15.8,36.4
9.0,17.3,17.3,44.8
4.8,12.9,12.2,29.3
2.1,5.4,5.0,12.6
2.2,5.1,5.2,14.4
3.7,8.5,10.2,22.7
5.2,14.7,10.6,31.3
4.9,12.0,12.5,30.0
7.3,16.1,14.4,34.4
2.2,3.9,5.3,10.5
7.6,14.4,16.1,36.9
9.0,18.8,19.7,47.2
3.0,10.4,11.7,24.2
4.0,9.1,6.4,26.6
2.3,4.6,3.2,8.4
9.6,17.2,17.4,45.4
8.9,17.8,15.9,37.6
1.5,5.6,5.5,13.9
3.5,8.2,7.2,20.1
2.1,6.3,4.4,14.7
7.1,15.2,16.0,30.3
3.7,8.0,6.8,14.7
8.7,16.7,16.4,41.2
2.1,4.9,5.0,9.3
5.5,12.7,12.8,33.2
2.9,8.5,7.8,18.5
3.4,9.1,6.8,21.0
8.7,18.8,15.8,43.4
7.1,16.2,14.6,34.1
3.6,9.2,6.4,18.4
7.4,15.4,16.2,39.5
2.8,7.9,8.9,19.4
5.7,12.1,13.0,29.5
6.3,12.6,13.6,26.5
9.1,17.0,15.2,39.4
9.3,17.9,15.2,42.3
3.9,7.2,11.3,21.7
5.5,12.9,12.2,33.6
6.2,12.8,11.8,27.6
7.0,14.2,17.1,36.9
8.5,18.2,16.0,42.0
5.7,11.9,14.1,31.9
2.1,5.2,5.8,12.9
9.0,17.5,16.4,43.8
4.8,11.9,14.4,29.3
5.0,12.9,13.6,31.2
3.4,9.2,7.0,16.1
3.1,10.8,10.0,28.9
7.9,16.2,16.2,37.7
2.7,8.6,9.4,17.1
5.5,13.2,12.2,28.2
3.6,8.4,11.7,22.8
3.4,9.4,8.4,17.3
5.7,12.3,14.7,35.6
2.0,4.9,3.0,11.4
5.2,12.6,13.9,32.6
7.1,16.1,13.0,32.5
6.7,14.6,15.4,34.1
3.4,8.1,6.6,15.9
8.9,17.8,15.7,41.6
6.2,11.1,13.6,33.8
7.6,14.5,13.2,32.5
8.9,18.6,17.9,46.2
1.5,5.3,6.9,15.4
2.3,4.8,4.1,13.9
7.4,16.5,16.8,40.9
2.0,4.4,4.5,9.2
3.8,7.3,11.3,26.3
2.7,4.9,5.9,16.5
3.1,8.5,10.5,21.1
8.0,18.4,15.4,39.4
7.3,13.9,14.8,38.9
4.9,13.1,11.8,25.3
1.7,5.7,5.1,3.4
6.2,13.0,12.4,31.8
6.4,11.3,12.3,32.2
3.1,9.1,10.4,19.4
3.4,9.9,8.0,20.7
5.5,12.2,11.5,29.0
1.8,5.6,5.0,13.4
7.8,15.6,15.6,40.6
5.1,12.7,11.4,25.7
7.6,15.6,16.5,38.3
5.6,11.7,13.8,33.0
5.5,13.3,13.8,28.3
8.6,19.0,19.0,45.3
3.9,8.1,9.9,29.6
7.3,15.9,17.5,40.9
9.4,18.3,18.4,46.9
1.6,4.8,7.8,14.4
5.5,14.1,14.5,35.0
5.9,13.4,12.9,33.0
5.6,11.6,12.9,28.1
6.1,14.2,10.9,40.4
2.3,5.4,5.0,9.7
7.2,16.3,15.0,40.7
8.5,17.0,19.4,45.2
6.0,13.0,13.8,35.2
3.3,8.9,8.2,16.6
7.6,16.7,17.5,41.5
5.9,12.4,11.6,31.0
2.0,4.8,4.5,11.6
8.1,17.7,19.6,47.0
7.2,15.2,16.9,40.7
4.4,8.8,10.1,24.5
8.3,16.2,13.5,36.2
7.9,16.5,13.9,36.2
3.2,8.4,8.4,16.0
5.3,13.0,12.7,32.6
8.2,18.2,18.4,42.9
8.6,18.7,16.9,45.3
3.7,8.6,11.7,21.0
8.7,16.9,16.6,41.6
7.6,15.0,14.8,45.2
3.8,9.9,6.5,15.6
3.2,6.6,11.5,20.0
1.6,5.4,6.6,16.0
5.6,12.9,10.1,24.3
7.9,15.8,16.2,37.9
5.7,11.3,14.6,38.4
2.9,7.7,8.4,20.7
2.0,5.3,7.1,15.6
3.6,9.1,12.0,25.8
7.3,15.3,13.4,35.3
7.7,13.6,14.6,38.6
3.9,8.0,7.6,22.1
2.4,5.0,6.3,11.4
5.5,13.2,12.1,33.3
2.0,5.3,4.0,12.5
6.9,15.1,14.7,36.7
8.3,17.6,15.0,38.3
1.8,5.6,5.6,14.5
6.1,12.5,12.9,31.5
9.0,17.5,15.2,39.8
8.5,17.6,19.6,44.2
8.2,17.6,17.6,43.6
5.7,13.1,12.0,30.2
7.7,14.3,14.7,38.8
5.0,11.8,12.8,30.3
8.1,16.0,17.6,43.9
3.7,8.2,6.5,8.8
5.0,12.4,14.2,33.0
7.3,16.3,13.4,38.4
5.0,12.4,11.5,25.0
3.0,8.1,7.6,25.3
6.9,14.8,13.6,33.3
7.8,14.3,13.2,33.6
3.8,9.5,10.8,24.6
2.7,9.0,11.9,26.7
3.1,8.2,6.1,16.8
6.0,13.2,13.1,28.3
3.2,10.0,10.7,26.9
5.3,12.2,11.0,29.3
8.7,18.0,16.7,43.7
3.8,9.8,10.4,27.7
3.8,7.0,7.9,18.5
6.9,14.8,14.9,37.2
1.7,4.4,5.4,10.8
7.8,15.1,13.2,38.4
7.2,13.8,16.5,38.4
5.6,13.2,10.4,27.7
7.9,14.3,13.4,36.2
8.5,17.2,17.3,42.3
6.6,14.9,17.5,39.5
3.7,8.9,11.4,23.9
6.2,12.1,12.3,26.9
6.8,16.6,16.8,44.6
8.1,17.5,17.0,43.2
2.9,7.1,9.4,21.4
8.4,16.6,16.7,42.2
3.5,8.3,8.3,22.9
5.4,11.4,11.4,31.9
3.4,7.3,7.3,19.4
6.9,16.3,15.7,35.7
9.0,18.7,18.8,45.8
8.3,17.8,17.2,48.6
8.5,18.5,15.1,50
5.6,11.8,14.1,31.5
5.0,12.6,13.5,34.2
3.6,8.8,8.2,12.9
5.6,12.9,12.9,26.6
1.9,4.5,5.8,9.4
3.7,7.2,10.9,25.3
2.1,5.8,6.7,12.1
6.8,15.9,14.1,34.7
9.4,18.6,18.7,46.7
3.3,8.0,6.9,18.8
3.2,8.5,9.3,20.1
5.4,13.0,12.1,28.7
7.6,14.7,13.8,37.9
8.0,16.0,18.0,41.7
3.3,9.3,10.2,22.5
5.8,13.1,12.6,34.5
5.5,12.5,14.9,22.5
9.0,17.7,15.6,40.3
3.5,8.3,11.1,26.8
5.7,11.2,11.0,26.2
3.6,8.1,10.9,27.5
1.8,5.3,6.4,11.0
3.5,9.5,7.3,16.9
4.2,9.6,7.0,16.0
7.9,17.4,16.9,39.8
2.3,5.2,4.0,12.9
3.1,8.6,10.2,28.8
7.7,15.2,16.7,38.5
5.3,13.9,14.4,36.0
3.4,7.6,8.5,17.7
8.6,17.8,16.7,42.9
7.1,13.8,13.5,33.0
5.5,11.2,14.9,36.2
5.4,13.7,13.0,28.3
6.4,11.9,13.9,32.0
3.1,8.1,11.0,24.9
4.0,9.2,6.6,17.4
8.5,18.4,16.8,41.2
3.7,9.0,10.2,25.3
8.3,17.8,16.1,43.5
8.9,18.5,17.1,45.7
3.5,8.2,6.4,20.6
6.1,11.2,12.4,29.7
2.2,4.0,7.5,17.7
9.1,18.8,17.0,44.3
7.4,15.4,15.7,36.2
5.7,11.8,12.1,30.6
3.3,8.5,7.1,17.5
2.0,4.7,7.6,13.3
3.2,6.9,8.0,20.6
5.6,12.9,10.0,37.9
1.4,5.5,3.5,11.0
1.9,5.1,6.9,15.3
3.7,7.9,10.6,22.1
7.2,15.7,13.5,38.1
5.5,13.1,14.3,34.7
6.2,12.9,10.6,26.6
2.0,4.2,3.4,6.8
7.1,15.9,14.0,34.9
6.2,12.4,10.0,31.9
5.5,12.7,10.9,27.3
5.3,13.2,12.3,26.8
7.5,16.0,14.2,35.0
8.9,18.3,19.7,45.6
8.4,16.9,19.3,44.5
7.3,16.9,14.8,36.0
8.3,16.4,16.8,40.9
6.9,14.5,13.3,36.8
7.4,15.2,13.6,36.1
3.0,9.0,7.3,19.6
