Quiz_Total,Assignment_Total,Midterm,Final_Exam
5.8,12.5,11.9,31.3
7.0,15.5,12.6,34.9
9.2,19.5,19.7,44.8
6.5,13.0,13.1,28.6
7.8,18.0,19.7,46.3
3.4,4.2,4.3,10.7
7.3,15.0,17.6,41.5
5.4,14.2,14.2,33.4
5.7,13.9,12.8,26.1
7.8,13.1,13.6,32.6
4.2,6.4,6.7,16.4
5.9,12.3,13.8,34.2
6.8,15.0,14.2,33.6
8.5,15.3,15.1,45.0
7.4,8.0,10.1,22.2
5.6,9.7,10.4,29.5
6.1,9.7,11.9,28.7
8.7,15.0,15.7,41.5
7.2,13.8,15.4,36.9
5.5,10.7,9.1,28.6
7.1,16.7,14.7,35.6
6.6,13.8,11.1,27.9
7.9,16.4,16.8,44.4
6.0,11.8,10.8,26.8
6.1,10.3,12.5,31.2
6.5,13.4,10.8,31.4
4.2,8.5,10.1,20.7
7.0,14.9,15.1,37.7
5.3,12.2,14.5,33.8
7.2,10.7,12.9,32.1
6.4,13.5,13.0,31.8
5.2,9.3,7.9,17.1
3.6,10.4,12.8,28.7
7.7,10.7,14.0,35.7
5.2,12.3,11.9,30.3
7.1,10.7,11.6,30.0
6.3,16.7,14.6,36.6
9.8,17.3,17.1,44.0
5.9,14.5,14.2,38.0
6.4,13.3,14.3,34.6
7.9,13.7,10.5,29.8
3.5,6.4,5.8,19.2
6.6,12.7,12.6,30.0
7.3,13.2,12.8,36.4
9.9,17.5,17.5,41.9
6.3,13.5,12.9,35.7
7.2,13.1,14.2,34.2
8.4,12.6,12.7,31.4
4.7,8.0,8.6,17.9
8.4,12.6,17.7,41.5
8.5,15.0,17.2,37.9
8.6,19.0,14.8,36.2
6.1,11.4,9.5,24.4
9.1,17.2,17.8,46.1
3.5,8.4,8.4,22.0
8.7,14.8,14.6,37.5
8.6,19.8,19.9,45.8
5.3,8.3,7.7,20.1
5.0,13.0,12.9,34.7
6.6,14.4,13.4,31.5
6.0,12.6,11.0,32.3
4.4,9.0,8.2,20.1
6.9,13.2,13.2,33.0
6.2,10.8,7.7,24.7
7.6,15.3,16.2,41.4
4.9,9.7,10.3,25.4
9.6,16.8,18.2,43.8
6.3,10.8,11.8,27.9
5.0,14.4,10.8,29.4
8.2,13.6,16.0,41.5
5.2,7.1,9.0,22.9
6.6,13.9,14.7,37.0
9.6,17.0,14.4,43.4
4.0,8.4,8.1,21.3
6.9,13.9,12.8,33.8
6.8,13.4,14.3,31.3
7.7,17.6,15.9,32.5
3.8,6.9,8.4,23.1
3.4,7.8,8.2,21.4
8.6,14.4,14.4,34.9
6.3,11.4,12.8,34.0
6.1,13.5,14.8,35.5
5.3,16.5,13.6,37.4
5.0,11.0,7.5,23.5
5.8,14.0,13.2,31.8
8.3,12.0,12.6,35.6
6.2,9.9,8.9,24.3
8.7,18.0,17.1,46.0
9.0,13.9,14.6,35.1
5.5,11.3,11.0,23.8
7.2,15.8,15.3,38.0
3.0,8.4,9.3,24.3
9.5,15.7,15.9,40.2
7.1,17.2,15.9,39.8
4.0,12.2,9.7,20.7
8.8,18.3,14.5,37.0
9.1,12.7,12.1,35.0
8.8,14.2,15.0,37.4
9.8,16.8,18.9,46.4
6.6,11.9,12.1,32.9
6.1,11.4,10.2,24.4
5.8,11.8,9.2,20.6
5.5,10.4,11.3,26.9
6.5,12.3,11.2,28.8
7.0,14.3,15.0,33.8
6.3,12.6,12.6,32.7
7.5,18.6,14.6,38.9
5.2,10.6,11.3,30.5
8.6,17.6,16.8,43.5
5.3,15.2,13.4,36.5
8.6,19.0,19.6,47.4
7.6,14.6,16.1,39.4
6.3,9.9,11.1,25.6
5.6,9.5,8.5,20.8
6.0,16.5,14.1,34.2
5.4,9.0,11.4,28.5
8.3,17.4,16.7,40.6
6.4,12.3,13.0,40.2
6.2,12.4,13.9,31.5
5.7,9.8,11.5,26.4
3.5,9.3,10.7,23.7
5.9,9.3,11.2,29.6
6.7,16.3,16.4,40.6
6.3,16.7,16.4,40.6
4.9,7.2,8.5,16.2
5.5,13.8,11.7,25.6
7.4,13.2,11.9,31.4
5.2,11.0,11.2,29.6
7.2,13.5,11.2,27.0
6.8,12.2,12.7,24.8
5.9,10.3,10.1,26.0
7.1,16.8,14.3,36.1
7.0,14.4,15.2,34.6
8.2,17.3,16.5,38.5
8.5,14.2,17.7,39.8
4.5,7.4,7.7,21.0
5.1,10.9,9.4,23.0
6.7,16.8,13.6,36.5
6.7,15.1,15.5,30.4
6.2,14.1,15.6,35.5
10.0,19.0,19.5,45.3
6.4,12.8,16.1,37.8
7.6,17.3,15.0,38.0
7.4,17.2,17.9,44.1
8.2,14.3,16.8,35.0
5.8,11.3,12.9,31.3
8.6,15.7,17.4,42.1
4.8,10.0,8.7,29.0
6.4,12.2,11.7,28.8
5.1,14.7,10.7,28.7
8.3,12.9,14.1,29.6
8.5,18.5,17.7,40.0
3.9,6.4,8.3,21.7
8.0,16.2,16.7,39.6
4.4,7.9,9.0,24.4
5.6,10.6,11.9,25.9
8.0,18.2,15.1,40.6
6.6,15.3,12.2,36.5
4.8,8.9,11.3,27.3
6.2,8.1,11.8,29.0
9.3,16.6,15.0,37.6
5.0,9.8,10.3,22.5
5.7,14.8,11.2,34.6
6.5,10.2,11.9,29.8
7.6,12.4,13.3,31.6
8.9,17.2,17.5,41.8
8.8,16.0,15.1,34.5
4.8,6.9,8.1,22.3
6.3,12.1,12.1,31.3
6.0,10.4,11.2,31.4
9.1,16.6,16.7,40.1
5.0,10.8,10.6,21.9
6.2,13.5,16.1,38.0
6.8,17.5,12.5,32.4
7.0,13.3,16.9,42.3
4.2,11.8,9.2,23.3
5.0,12.2,12.9,27.2
5.8,10.2,12.1,30.0
4.9,9.0,10.2,32.1
9.3,18.0,18.6,47.3
5.9,15.6,12.0,32.7
4.9,9.0,9.9,26.6
8.5,18.0,16.1,40.3
7.9,16.8,19.8,49.0
8.3,16.1,17.4,39.1
5.2,6.6,8.9,22.2
4.8,12.1,11.7,31.6
9.7,18.1,15.7,38.6
5.8,10.2,10.0,29.7
6.6,10.4,15.8,37.4
7.6,15.6,17.0,38.1
5.6,10.9,9.9,27.7
6.5,13.4,12.9,31.4
2.9,6.9,3.9,13.1
4.2,8.3,11.3,25.7
6.3,13.3,13.0,31.4
3.5,11.0,11.6,27.2
8.9,15.2,16.8,44.2
3.6,9.2,8.3,16.3
5.3,10.9,12.0,26.8
7.7,13.3,14.2,36.8
9.5,17.8,17.1,42.7
4.8,8.0,7.6,19.1
7.4,15.5,17.5,39.0
6.3,13.1,13.9,30.9
6.0,8.4,9.0,18.8
7.3,12.8,16.0,37.6
8.7,14.6,15.0,34.2
5.9,9.5,11.4,25.8
6.8,14.2,13.3,33.0
5.7,12.5,12.5,31.3
6.8,10.8,12.3,37.3
7.4,14.0,15.0,33.7
9.4,19.5,15.2,44.2
5.4,7.8,10.3,26.9
8.9,18.3,17.1,43.3
2.5,7.8,8.9,20.5
4.8,13.7,12.1,29.7
7.8,14.4,14.5,37.1
6.0,12.9,13.1,37.5
3.8,13.3,10.8,28.9
6.5,15.0,14.1,34.3
7.8,13.0,8.5,24.1
5.6,11.4,12.8,26.3
8.4,14.3,16.0,38.9
7.1,12.8,12.6,36.4
5.4,11.7,9.6,21.9
8.6,16.3,17.7,39.0
6.7,16.0,12.8,33.8
7.9,16.4,14.1,34.5
7.7,12.6,16.3,36.9
4.7,12.1,10.9,25.7
6.5,9.8,10.2,23.5
7.5,14.7,15.5,36.0
6.8,15.2,13.6,37.4
6.9,15.9,14.3,30.7
6.0,18.0,14.6,30.9
8.4,17.7,17.5,41.3
5.6,11.0,11.7,30.5
8.2,15.4,16.8,38.7
6.6,13.7,12.4,29.8
6.2,11.9,10.9,29.2
8.8,19.0,16.8,37.0
8.9,15.8,18.0,43.0
8.2,16.2,14.2,38.1
8.5,17.9,16.5,40.8
5.5,13.7,13.6,35.8
6.7,16.3,15.0,34.7
5.8,11.1,10.9,31.6
6.5,13.1,15.3,36.9
6.2,11.0,15.4,34.0
6.7,14.0,13.5,33.4
7.8,16.0,13.7,35.4
5.2,11.2,8.7,27.2
9.9,20.0,19.3,45.2
5.0,10.0,11.3,24.6
3.1,10.4,9.9,26.6
7.5,14.8,16.5,39.7
7.6,14.8,14.7,39.9
6.5,15.9,13.6,39.9
7.9,16.2,15.9,37.4
7.7,12.5,14.1,35.5
6.1,10.2,8.5,20.7
6.4,11.0,15.1,37.2
6.7,10.4,11.7,28.8
8.1,17.3,17.6,43.0
6.0,13.4,10.9,27.8
4.8,11.3,8.9,20.2
5.8,12.1,11.9,31.2
6.8,14.2,14.8,31.1
5.8,10.3,13.5,30.1
5.4,11.6,11.4,29.7
6.9,14.4,13.4,34.4
7.2,14.5,12.5,37.7
6.7,10.7,13.0,33.1
6.6,8.4,10.4,25.9
5.7,15.3,15.7,36.7
2.3,7.9,8.3,21.1
5.1,7.5,10.7,20.3
4.3,11.9,11.7,25.8
6.0,11.8,12.2,29.3
6.0,15.5,13.3,29.0
7.3,18.4,17.0,43.2
8.2,16.6,16.1,38.9
6.9,10.5,12.6,27.2
6.0,14.8,12.2,32.5
2.9,10.4,9.8,26.5
6.0,12.4,13.0,33.0
6.4,12.3,9.6,26.5
5.8,11.3,14.5,37.0
5.4,11.1,9.3,26.5
7.3,13.0,13.2,35.5
9.3,15.6,15.6,39.5
6.4,10.4,10.5,29.8
6.3,15.9,12.6,36.6
8.5,14.1,14.2,35.1
5.8,14.1,14.1,37.5
6.8,12.9,13.0,32.1
5.8,10.5,13.3,33.0
6.3,11.6,13.8,32.2
4.6,12.5,10.8,27.4
6.4,12.8,13.0,28.2
8.6,13.7,13.1,33.2
7.6,17.6,19.1,42.7
6.6,16.6,18.0,42.6
10.0,20.0,17.0,47.6
5.2,12.9,9.5,26.9
7.3,15.1,15.3,32.7
7.6,11.6,12.4,37.6
9.0,18.4,19.6,49.0
6.7,11.0,9.7,23.4
5.8,9.0,13.1,29.7
5.2,9.8,12.6,30.1
5.0,7.1,6.9,15.2
5.2,11.3,12.7,30.6
6.0,10.8,12.0,26.8
7.0,12.3,12.8,31.8
8.1,13.7,13.0,32.1
10.0,17.2,18.7,43.1
8.0,17.2,16.9,41.3
5.0,12.8,11.4,29.8
5.5,7.5,8.4,24.8
6.7,13.1,13.5,37.1
6.1,6.8,9.0,23.4
9.4,17.5,18.4,44.8
8.0,16.4,18.9,46.3
5.9,9.4,9.9,23.6
2.9,6.5,8.5,18.2
7.8,15.6,18.8,42.3
7.3,13.0,15.4,37.6
7.8,16.8,16.2,43.5
3.3,7.1,8.8,22.5
6.0,11.5,11.9,31.5
7.5,12.2,13.3,30.7
7.1,12.7,13.0,33.6
6.6,14.2,12.2,29.5
6.8,16.9,11.8,35.6
3.8,7.8,10.6,25.2
7.5,13.8,12.7,30.6
6.4,14.6,13.1,34.4
7.1,12.8,17.0,41.5
8.6,16.4,14.3,35.2
5.3,11.9,9.1,23.3
4.6,6.7,10.8,21.2
10.0,15.5,15.8,34.6
6.5,15.5,13.3,34.7
6.1,11.2,10.6,28.2
8.9,18.5,18.7,46.0
6.9,13.9,13.6,28.8
9.5,17.1,15.0,38.6
7.0,11.2,12.6,26.7
9.9,20.0,18.3,50.0
10.0,20.0,18.2,42.9
5.8,11.9,12.8,34.4
7.3,15.8,16.4,42.7
6.6,12.6,12.8,32.5
7.0,17.9,18.4,41.5
6.7,11.0,10.4,26.5
6.6,15.0,16.7,37.5
7.9,17.9,16.7,41.3
3.6,7.2,9.0,19.6
5.0,10.3,10.0,19.8
4.1,5.4,8.5,13.6
6.8,12.2,12.8,31.8
7.1,14.9,15.0,36.3
8.6,17.8,20.0,45.4
6.8,12.7,14.3,36.1
8.7,17.7,18.6,48.5
5.7,10.1,7.3,19.6
4.3,7.2,6.3,17.0
7.0,10.4,13.2,33.8
7.6,16.8,14.3,32.2
7.4,15.0,12.2,32.0
3.5,4.9,7.0,18.6
5.3,13.8,14.6,35.8
4.9,8.3,9.9,18.9
7.0,15.4,13.6,33.9
6.6,14.5,14.0,32.9
5.6,9.8,9.2,24.5
6.7,10.3,11.0,29.3
4.9,8.8,9.3,27.7
6.7,11.4,12.2,30.1
9.3,14.6,14.4,36.7
5.2,9.9,9.9,27.8
9.3,13.4,13.8,36.2
6.2,12.4,7.9,27.5
3.9,12.9,13.1,30.2
6.9,11.8,14.0,30.4
5.3,10.3,9.4,20.8
6.7,12.1,11.4,24.5
5.2,10.1,8.0,23.5
9.3,19.0,20.0,50.0
5.6,14.2,15.4,40.1
5.3,11.6,11.1,29.6
6.1,11.8,14.9,38.5
5.9,14.0,12.9,30.5
6.6,13.7,10.7,26.0
8.8,13.7,14.3,38.6
8.0,15.3,15.4,39.4
4.7,12.4,10.9,28.2
6.0,11.0,11.0,28.8
7.0,13.8,12.1,31.2
2.6,9.6,6.0,18.3
4.1,7.3,8.5,24.4
8.6,15.0,15.8,42.6
8.3,18.4,17.1,45.9
6.6,13.3,10.7,30.1
7.3,14.4,15.9,37.1
7.3,16.1,11.4,33.7
8.8,17.0,20.0,45.2
7.8,17.4,18.0,45.5
6.9,11.7,12.3,28.2
4.8,12.7,7.0,22.3
5.5,11.2,7.7,17.8
6.5,12.5,13.5,35.3
5.5,9.9,9.5,25.3
5.1,10.0,8.1,17.1
4.4,10.5,12.9,30.9
3.5,9.7,10.6,24.0
7.8,18.1,17.0,46.1
8.8,12.8,13.7,36.8
6.0,13.0,12.6,33.0
10.0,16.4,17.2,40.9
6.2,12.5,13.8,32.3
5.4,12.6,9.8,24.2
10.0,15.7,18.2,46.8
8.9,15.8,16.9,43.5
6.6,9.5,10.9,23.9
7.2,12.0,12.4,33.7
6.0,11.6,10.2,20.3
4.9,9.4,8.4,18.6
8.5,16.6,17.2,38.8
8.9,20.0,18.0,42.6
3.7,8.3,8.9,18.2
7.3,13.8,14.8,37.9
5.4,9.4,10.4,26.3
5.4,10.3,9.9,27.8
6.2,15.6,11.6,30.2
6.0,12.3,10.3,26.6
6.6,11.1,13.7,35.2
6.4,8.5,9.9,25.4
6.0,14.5,15.3,33.3
6.3,13.7,11.8,33.5
5.6,13.1,14.3,31.7
3.6,9.9,8.2,20.9
5.6,11.1,11.8,28.4
7.5,15.8,15.8,36.5
8.5,14.6,13.5,34.0
5.5,6.7,10.6,26.7
5.8,13.0,14.8,35.9
9.1,14.0,12.6,32.7
5.0,8.3,8.6,19.5
7.8,19.1,11.6,35.6
5.3,11.6,9.9,27.4
6.6,14.2,16.7,44.4
5.1,12.1,10.0,28.9
4.7,8.3,6.2,20.2
5.6,8.7,7.9,16.6
7.8,14.1,15.6,37.7
6.5,16.9,11.6,31.7
4.2,8.6,9.0,22.8
7.6,15.6,16.7,39.9
2.6,6.6,10.2,25.0
6.7,13.6,12.7,33.1
4.6,8.0,7.9,19.5
5.1,10.4,13.6,32.5
5.3,12.7,15.1,33.6
5.6,11.9,11.2,27.5
5.5,13.2,10.9,27.7
7.1,14.2,16.0,39.5
3.3,11.4,11.1,29.9
7.7,14.4,15.9,36.6
6.2,7.7,11.4,31.0
8.6,14.3,15.6,33.1
8.3,16.9,16.0,40.2
2.3,9.2,7.2,16.8
5.7,11.3,11.0,28.5
6.6,12.7,15.6,37.6
6.4,11.5,14.2,33.0
7.7,15.6,12.8,34.7
6.6,14.3,11.1,27.3
6.5,10.9,12.6,35.8
6.1,9.7,10.7,31.2
7.5,19.3,16.9,43.9
6.2,14.3,16.8,35.6
6.8,12.7,11.8,32.2
6.2,12.6,11.7,28.6
6.5,7.6,12.3,27.2
5.2,11.7,11.9,30.4
8.3,14.7,14.0,33.9
5.7,13.1,10.2,29.1
6.9,12.3,14.1,32.3
8.9,19.1,18.1,50.0
5.9,14.2,13.0,33.7
6.7,12.4,13.5,32.4
8.9,15.3,17.8,44.9
5.7,11.2,11.8,28.0
3.5,5.4,7.2,19.7
5.4,11.0,11.3,23.5
2.4,8.7,7.7,22.5
5.5,11.6,13.0,31.2
7.2,13.1,12.7,30.7
8.0,15.9,19.6,46.2
7.2,13.5,14.4,37.5
5.1,12.3,12.6,29.7
8.1,19.4,14.0,35.1
3.2,4.7,6.7,15.8
5.6,15.9,12.7,30.1
8.6,16.8,14.5,41.9
3.7,9.0,7.6,18.8
7.6,19.1,15.2,41.7
7.2,14.6,16.6,38.7
6.8,12.3,13.4,28.9
6.6,14.8,17.2,40.0
9.5,20.0,17.5,47.7
7.1,15.2,13.6,33.5
7.4,12.8,12.2,35.5
6.0,9.6,10.8,30.6
4.9,10.1,9.3,27.0
7.1,14.3,17.0,39.4
5.3,10.3,10.0,22.9
5.7,15.1,14.5,33.0
3.4,10.9,12.3,30.3
7.6,14.4,17.2,40.8
7.7,14.1,12.2,27.4
6.2,17.4,17.6,42.0
4.9,8.1,12.8,30.7
6.6,11.3,11.0,28.4
6.7,10.4,11.3,29.9
5.9,13.5,12.1,30.7
6.5,13.4,13.9,38.3
7.5,12.5,14.3,36.5
6.2,11.2,9.4,26.9
7.3,14.7,18.1,46.1
7.9,15.3,17.1,46.0
6.7,13.3,15.2,34.0
8.6,18.4,17.7,44.8
5.4,9.8,9.7,24.7
5.9,6.0,10.6,26.0
4.1,9.0,6.0,18.9
8.5,19.4,17.0,41.0
7.2,15.9,15.0,37.6
5.2,11.1,13.0,27.2
7.6,13.5,13.6,37.9
4.7,9.6,10.1,23.3
9.4,19.9,19.8,48.6
9.2,14.4,14.3,33.8
6.9,12.2,12.1,34.7
7.0,15.3,14.8,30.4
6.9,15.1,15.9,37.8
7.8,15.9,14.7,35.1
5.4,11.7,9.0,23.5
6.1,15.6,14.8,40.8
10.0,18.8,16.3,41.6
8.0,19.2,17.1,44.6
10.0,18.4,20.0,48.0
6.6,10.2,10.3,30.4
4.7,12.1,9.0,22.2
7.3,13.7,13.5,30.8
6.6,12.5,11.3,33.4
8.8,15.6,15.5,40.8
4.3,8.4,8.6,16.8
8.1,18.3,16.8,41.7
5.7,12.8,12.2,31.9
6.7,12.2,12.6,32.4
4.7,12.5,10.5,23.9
3.7,9.6,8.4,13.2
7.0,15.8,15.1,39.5
6.9,14.6,13.7,30.6
6.2,7.6,9.0,17.6
3.7,9.7,9.7,16.4
6.0,14.7,11.4,31.3
10.0,17.7,17.8,45.1
6.0,10.9,11.0,28.5
4.6,7.5,8.4,24.6
5.3,10.6,11.3,31.1
6.4,11.0,10.8,32.8
2.4,4.4,5.3,9.4
7.2,10.7,13.1,32.3
7.1,12.3,13.2,27.8
9.6,16.4,14.6,36.6
9.7,17.2,19.0,46.3
8.5,18.7,17.0,43.3
6.3,13.0,12.7,31.2
4.6,11.2,8.7,24.6
9.8,18.0,19.2,49.5
6.4,14.5,13.6,38.8
6.7,11.4,13.1,31.9
7.5,14.3,10.4,26.9
6.0,13.9,13.8,34.8
7.2,13.4,15.2,32.6
6.7,9.5,10.8,31.3
5.6,10.0,10.5,26.7
4.8,13.8,13.3,31.3
5.2,9.9,11.7,27.6
6.5,11.6,12.3,30.7
6.6,11.3,11.8,31.1
5.3,13.5,13.1,30.0
8.4,15.7,18.2,48.8
3.2,5.9,4.9,10.3
8.6,17.2,16.7,41.3
8.2,15.7,18.0,45.0
3.1,7.7,7.8,14.1
5.7,12.4,10.6,29.5
5.2,11.1,12.9,28.3
5.7,7.3,8.7,23.9
5.1,7.7,10.8,24.4
5.8,10.2,9.8,26.1
10.0,15.9,18.1,48.2
8.7,16.0,17.2,43.3
8.1,16.4,16.7,42.5
7.9,16.2,13.8,35.7
4.8,9.2,9.1,22.0
5.0,10.9,11.6,32.5
7.5,15.6,15.9,36.1
3.7,9.8,10.1,21.7
8.5,15.6,14.1,38.3
5.8,13.0,15.3,32.3
6.1,9.6,12.2,27.7
7.8,16.3,16.7,36.1
7.0,15.3,14.2,34.5
6.4,10.4,12.6,30.4
7.9,16.1,17.5,43.0
5.6,9.7,11.2,28.5
6.3,14.6,16.1,39.9
7.5,15.3,15.8,37.7
7.6,14.2,11.7,29.2
6.2,15.6,13.3,35.4
4.1,7.3,9.6,26.7
8.3,16.7,16.9,41.1
6.4,14.4,12.2,29.6
6.0,12.0,12.7,27.6
8.5,17.8,17.9,38.9
6.0,13.9,9.8,27.6
5.3,10.3,7.8,22.2
4.5,8.7,8.2,22.1
7.2,16.4,15.2,37.2
5.1,9.4,8.5,25.6
10.0,18.3,19.9,46.4
3.3,6.2,7.3,19.9
8.3,20.0,18.1,45.1
7.7,12.4,11.9,30.5
6.3,15.0,11.1,31.3
3.9,12.1,11.7,29.8
7.8,12.1,11.6,33.3
6.0,13.4,14.1,33.9
8.1,13.2,16.1,40.4
6.9,14.3,17.2,44.0
6.9,14.8,16.2,39.9
6.5,11.0,11.7,31.3
6.1,13.0,12.7,32.2
7.4,16.9,15.1,38.7
3.7,7.1,9.9,23.4
5.1,7.4,7.0,20.1
8.1,17.5,13.1,34.8
6.0,16.5,12.8,32.7
7.1,12.5,13.1,24.0
6.1,14.6,13.7,33.9
7.7,16.1,15.3,35.4
6.0,10.3,9.9,30.7
6.8,9.9,7.9,23.4
6.6,15.4,14.6,32.2
4.8,12.6,9.1,23.9
7.1,15.1,11.8,30.0
3.7,6.6,8.1,21.2
8.7,19.1,17.0,42.0
5.9,13.6,14.3,38.3
6.0,13.3,13.2,31.8
7.1,16.5,15.8,39.8
9.8,20.0,17.6,41.1
9.4,17.3,14.4,39.9
3.7,8.1,6.6,18.9
4.4,9.9,9.8,24.9
5.6,11.2,11.5,28.3
7.5,13.9,13.3,34.0
6.5,10.8,13.4,39.0
5.6,10.4,10.6,26.1
7.6,13.9,10.9,31.1
5.8,9.0,10.9,24.3
5.7,11.7,12.9,27.8
5.2,8.5,7.0,20.1
3.0,12.9,9.5,27.5
5.0,11.3,9.3,22.1
4.5,9.4,11.6,26.4
6.6,15.9,15.6,38.7
5.5,10.0,9.3,23.0
10.0,18.3,16.6,45.4
7.1,14.8,14.6,32.6
7.5,12.4,16.0,40.0
6.5,8.7,10.8,24.8
8.6,16.0,15.1,39.6
6.9,12.2,11.7,25.5
7.3,12.2,13.4,35.1
9.6,20.0,18.0,48.0
5.1,11.8,13.7,33.9
8.0,16.8,16.7,38.9
4.8,12.1,10.9,27.9
8.2,12.8,11.7,27.8
9.0,19.0,19.9,47.1
5.7,10.3,11.9,31.3
9.7,18.1,17.8,47.3
7.6,14.8,16.3,39.3
7.0,10.2,10.7,25.1
7.0,14.6,14.0,37.8
8.1,13.6,15.0,38.7
6.8,14.1,12.7,28.8
3.1,7.9,8.9,23.4
4.9,10.4,8.6,24.3
6.1,11.9,10.8,31.9
6.0,12.7,10.3,26.2
6.9,15.6,14.8,29.1
5.6,14.8,13.4,34.4
4.4,8.0,8.6,22.7
5.9,12.3,12.9,29.6
8.0,13.3,13.4,32.9
7.4,13.9,15.2,44.2
7.0,15.7,15.6,39.1
7.5,14.3,15.9,41.1
6.6,12.4,13.3,33.0
6.7,12.1,13.0,27.0
5.1,8.3,9.6,21.5
5.6,15.2,15.0,35.9
6.9,12.8,13.1,32.4
6.8,13.2,14.1,34.6
5.1,7.8,8.9,23.3
5.0,9.7,9.8,24.1
7.5,14.9,15.8,36.8
6.2,13.7,12.7,33.2
6.9,12.4,15.3,33.0
7.4,12.5,11.9,26.2
6.6,13.5,11.9,33.1
9.4,16.1,14.1,38.7
5.7,15.5,9.5,26.1
6.1,13.8,11.8,27.9
4.6,10.1,11.8,27.5
4.4,11.6,10.6,27.3
4.8,9.4,12.7,26.9
7.0,13.5,13.7,32.4
6.2,10.3,9.2,27.7
7.1,18.1,17.6,46.5
5.9,9.5,11.3,25.9
5.8,12.3,11.2,31.5
6.0,10.7,12.2,25.0
10.0,19.9,16.3,43.8
7.5,13.1,13.7,32.1
7.8,18.8,14.6,39.2
3.6,9.8,6.4,18.2
5.2,14.5,13.3,37.2
7.3,16.2,15.5,36.8
6.5,13.8,12.8,34.1
7.3,13.3,14.8,38.1
5.6,11.0,11.0,27.7
8.7,18.5,17.6,43.1
9.3,18.9,18.9,45.3
5.4,9.8,12.1,30.0
6.0,11.6,10.9,28.1
9.0,19.9,18.8,45.7
8.0,19.6,16.3,42.8
6.8,11.3,12.0,31.3
5.8,13.2,13.2,33.4
6.1,11.6,12.7,28.4
5.0,6.4,8.7,24.3
5.3,8.9,9.6,21.9
5.8,12.3,11.2,27.9
5.6,10.3,9.0,26.3
6.0,12.5,11.7,26.0
7.1,13.3,13.2,33.9
7.9,20.0,19.1,44.7
5.1,12.4,10.5,23.7
7.9,19.3,14.8,41.9
6.0,12.1,12.0,28.8
6.3,13.3,12.1,29.2
6.0,12.7,14.2,36.8
4.4,11.8,10.8,27.2
7.1,12.4,12.5,33.0
6.9,13.8,15.4,38.9
6.4,12.8,15.5,38.7
7.9,13.0,15.2,30.8
8.8,17.7,18.4,45.5
6.3,10.2,10.9,26.1
6.0,10.6,9.7,27.7
5.0,10.3,10.5,20.5
7.1,12.6,11.9,35.4
4.6,9.4,12.6,30.9
9.0,16.9,15.2,40.1
9.4,19.1,16.8,45.6
5.1,10.5,11.1,33.9
6.4,9.4,8.8,26.4
7.0,14.1,15.1,39.2
5.9,13.1,10.5,27.7
7.7,15.2,14.7,36.7
6.7,12.8,13.1,32.2
4.9,9.2,7.5,17.9
9.5,16.0,17.6,42.3
7.8,19.4,18.1,42.2
6.6,11.8,10.7,27.2
4.6,11.4,11.0,24.4
7.8,12.6,14.2,35.5
7.9,12.7,16.0,37.3
6.6,15.8,15.1,38.0
9.2,20.0,20.0,47.4
5.4,11.5,10.8,36.9
